node_x,node_y,node_flat,medoid_index,time,label_raw,label,majority_label,representative_label,match,distance
0,0,0,1795,1995/12/01,1+2A,,2D,2D,False,0.018484920263290405
0,1,1,1865,1996/02/09,1+2A,,2D,2D,False,0.0
0,2,2,1055,1993/11/21,2D,2D,2D,2D,True,0.022710081189870834
0,3,3,1077,1993/12/13,2A+3D,,2B,2B,False,0.10052020847797394
0,4,4,494,1992/05/09,4A,4A,2A,2A,False,0.05620313435792923
0,5,5,3088,1999/06/16,2A+5,,2A+4B,2A+4B,False,0.0
0,6,6,3089,1999/06/17,2A+4A,,2A+4B,2A+4B,False,0.0
0,7,7,873,1993/05/23,2D-3B,,2A,2A,False,0.024922555312514305
0,8,8,2328,1997/05/17,2A+4B,,2B,2B,False,0.0
0,9,9,2748,1998/07/11,4A,4A,2D,2D,False,0.014947431161999702
1,0,10,1800,1995/12/06,1+2B,,1,1,False,0.006568325683474541
1,1,11,1809,1995/12/15,2D-1,,2A-1,2A-1,False,0.0
1,2,12,402,1992/02/07,2A-1,,2A+2C,2A+2C,False,0.08839248865842819
1,3,13,2108,1996/10/09,2A+4B,,2A+2C,2A+2C,False,0.0
1,4,14,2106,1996/10/07,2A+4A,,4A,4A,False,0.0
1,5,15,3062,1999/05/21,3D,3D,2A+4B,2A+4B,False,0.027685746550559998
1,6,16,575,1992/07/29,5,5,5,5,True,0.0
1,7,17,2387,1997/07/15,2A+4A,,2A+4B,2A+4B,False,0.0
1,8,18,897,1993/06/16,4A,4A,4A,4A,True,0.0
1,9,19,1638,1995/06/27,2A+4B,,3B+4B,3B+4B,False,0.0
2,0,20,9,1991/01/10,1+3D,,1,1,False,0.016996413469314575
2,1,21,770,1993/02/09,2D,2D,1,1,False,0.0
2,2,22,316,1991/11/13,1+3B,,1,1,False,0.0442497655749321
2,3,23,2904,1998/12/14,2A+3D,,3B,3B,False,0.047183286398649216
2,4,24,2905,1998/12/15,1+2A,,3B,3B,False,0.008760315366089344
2,5,25,1224,1994/05/09,3B,3B,3B,3B,True,0.01769297756254673
2,6,26,571,1992/07/25,5,5,4A+5,4A+5,False,0.03006141260266304
2,7,27,2740,1998/07/03,4A+5,,4A+5,4A+5,True,0.0
2,8,28,1644,1995/07/03,4A,4A,4A,4A,True,0.0
2,9,29,896,1993/06/15,4A,4A,4A,4A,True,0.0664982721209526
3,0,30,1836,1996/01/11,1,1,1,1,True,0.022319622337818146
3,1,31,1811,1995/12/17,1,1,1,1,True,0.0230172760784626
3,2,32,787,1993/02/26,3B,3B,3B,3B,True,0.02452177181839943
3,3,33,1097,1994/01/02,2B+3D,,3B,3B,False,0.0
3,4,34,1201,1994/04/16,3C,3C,3B,3B,False,0.0
3,5,35,1669,1995/07/28,5,5,3B,3B,False,0.04054310545325279
3,6,36,3132,1999/07/30,4A+5,,4A+5,4A+5,True,0.0
3,7,37,1605,1995/05/25,4A+5,,4A,4A,False,0.0
3,8,38,1643,1995/07/02,4A,4A,4A,4A,True,0.004450791049748659
3,9,39,179,1991/06/29,3A+4B,,4A,4A,False,0.019993942230939865
4,0,40,1143,1994/02/17,1,1,1,1,True,0.008813351392745972
4,1,41,384,1992/01/20,1,1,1,1,True,0.0
4,2,42,2529,1997/12/04,3B,3B,3B,3B,True,0.02172113209962845
4,3,43,325,1991/11/22,3B,3B,3B,3B,True,0.0
4,4,44,1555,1995/04/05,3C,3C,3B,3B,False,0.020543867722153664
4,5,45,1608,1995/05/28,3B,3B,5,5,False,0.03709324449300766
4,6,46,3123,1999/07/21,4A,4A,4A+5,4A+5,False,0.018374895676970482
4,7,47,1244,1994/05/29,3C+4B,,4B,4B,False,0.05330279469490051
4,8,48,2365,1997/06/23,2A+4B,,4A,4A,False,0.06562285125255585
4,9,49,918,1993/07/07,4A,4A,4A,4A,True,0.0
5,0,50,1493,1995/02/02,1,1,1,1,True,0.014567398466169834
5,1,51,702,1992/12/03,1,1,1,1,True,0.02703438140451908
5,2,52,1030,1993/10/27,3B,3B,3B,3B,True,0.002036856720224023
5,3,53,2505,1997/11/10,3B,3B,3B,3B,True,0.0
5,4,54,2077,1996/09/08,3B,3B,3B,3B,True,0.0
5,5,55,2323,1997/05/12,3A,3A,4A,4A,False,0.06604059785604477
5,6,56,3135,1999/08/02,5+6A,,5+6A,5+6A,True,0.0
5,7,57,1302,1994/07/26,5+6A,,4A,4A,False,0.0
5,8,58,1259,1994/06/13,4A,4A,3A+4A,3A+4A,False,0.0
5,9,59,1647,1995/07/06,4A,4A,4A,4A,True,0.024389419704675674
6,0,60,354,1991/12/21,2B,2B,1+4B,1+4B,False,0.027961740270256996
6,1,61,2893,1998/12/03,1+4B,,1+4B,1+4B,True,0.0
6,2,62,2120,1996/10/21,3B,3B,3A,3A,False,0.0
6,3,63,2110,1996/10/11,3B+4B,,3B,3B,False,0.0
6,4,64,3168,1999/09/04,3B+4B,,3B+4B,3B+4B,True,0.09740768373012543
6,5,65,986,1993/09/13,3A+4A,,4A,4A,False,0.0
6,6,66,1967,1996/05/21,2B,2B,2D,2D,False,0.09456789493560791
6,7,67,2791,1998/08/23,4B+5,,4A,4A,False,0.015745531767606735
6,8,68,3101,1999/06/29,4A,4A,3A+4B,3A+4B,False,0.015852462500333786
6,9,69,1252,1994/06/06,3A+4B,,3A+4B,3A+4B,True,0.0
7,0,70,743,1993/01/13,3B+4B,,1+4B,1+4B,False,0.00662783719599247
7,1,71,2547,1997/12/22,1+4B,,1+4B,1+4B,True,0.0
7,2,72,258,1991/09/16,3A+4B,,3A+4B,3A+4B,True,0.0
7,3,73,645,1992/10/07,3A,3A,3A+4B,3A+4B,False,0.016273919492959976
7,4,74,3193,1999/09/29,3A+4B,,3A+4B,3A+4B,True,0.0
7,5,75,2421,1997/08/18,3A+6A,,2D,2D,False,0.0
7,6,76,2716,1998/06/09,3A+4B,,2C,2C,False,0.002453436376526952
7,7,77,2717,1998/06/10,4B,4B,4B,4B,True,0.016810031607747078
7,8,78,1625,1995/06/14,2D+3A,,2C+3A,2C+3A,False,0.026857344433665276
7,9,79,2712,1998/06/05,3A+4B,,3A+4B,3A+4B,True,0.025627117604017258
8,0,80,85,1991/03/27,4B,4B,2D,2D,False,0.11765071004629135
8,1,81,675,1992/11/06,2B,2B,6A+4A,6A+4A,False,0.1462005227804184
8,2,82,651,1992/10/13,3A+4B,,3A+4B,3A+4B,True,0.0
8,3,83,646,1992/10/08,3A+4B,,3A+4B,3A+4B,True,0.0
8,4,84,2085,1996/09/16,2A+3C,,3A+5,3A+5,False,0.06351745128631592
8,5,85,2420,1997/08/17,3A+6A,,3A+6A,3A+6A,True,0.20851755142211914
8,6,86,3187,1999/09/23,4A+6A,,4A+6A,4A+6A,True,0.03809620440006256
8,7,87,2710,1998/06/03,3D,3D,3A+4B,3A+4B,False,0.130997896194458
8,8,88,952,1993/08/10,6B,6B,3A+4B,3A+4B,False,0.06951291114091873
8,9,89,580,1992/08/03,4B+6A,,3A+4A,3A+4A,False,0.04524829983711243
9,0,90,745,1993/01/15,2D,2D,2D,2D,True,0.009612592868506908
9,1,91,658,1992/10/20,2C,2C,2C,2C,True,0.007186594884842634
9,2,92,1352,1994/09/14,4B,4B,4B,4B,True,0.0
9,3,93,1722,1995/09/19,3A+4B,,4A,4A,False,0.1376500278711319
9,4,94,228,1991/08/17,6A+3A,,3A,3A,False,0.07314053922891617
9,5,95,230,1991/08/19,6A,6A,3A+4B,3A+4B,False,0.0
9,6,96,3115,1999/07/13,2C,2C,6B,6B,False,0.0
9,7,97,2798,1998/08/30,4A+6B,,4A,4A,False,0.07728767395019531
9,8,98,2760,1998/07/23,4A,4A,4A,4A,True,0.0
9,9,99,2759,1998/07/22,4B,4B,4A,4A,False,0.08560427278280258
